TBPL1	TBPL1
ARNTL2	ARNTL2
BCLAF1	BCLAF1
SLC39A9	SLC39A9
ANK1	ANK1
TFB1M	TFB1M
RABEP1	RABEP1
HMGB3	HMGB3
NUP160	NUP160
BAK1	BAK1
MUSK	MUSK
IKZF2	IKZF2
GRN	GRN
FAM13B	FAM13B
ARHGAP31	ARHGAP31
NR2E3	NR2E3
CENPQ	CENPQ
SARS	SARS
RANBP3	RANBP3
ARID4A	ARID4A
TSSC1	TSSC1
PNPLA6	PNPLA6
IFT88	IFT88
ALG1	ALG1
ZCCHC8	ZCCHC8
ABCF2	ABCF2
CHPF2	CHPF2
LRRC7	LRRC7
FUT8	FUT8
UBA6	UBA6
GAB2	GAB2
ATP6V0A1	ATP6V0A1
PIAS1	PIAS1
SLC4A7	SLC4A7
APBA2	APBA2
UHRF1	UHRF1
MAP2K3	MAP2K3
EFCAB1	EFCAB1
TMSB10	TMSB10
ASTE1	ASTE1
RNF19A	RNF19A
PEX3	PEX3
GABARAPL2	GABARAPL2
MYOC	MYOC
SH3YL1	SH3YL1
FAM136A	FAM136A
VCL	VCL
DEPDC1B	DEPDC1B
DAPK2	DAPK2
NSMAF	NSMAF
ADSS	ADSS
STAP1	STAP1
TIMP2	TIMP2
RFC1	RFC1
TBC1D23	TBC1D23
CUL3	CUL3
MYOM2	MYOM2
OTC	OTC
CYP46A1	CYP46A1
ZZZ3	ZZZ3
SLC18A1	SLC18A1
USP2	USP2
CASR	CASR
TUBG2	TUBG2
RPL26L1	RPL26L1
FLT4	FLT4
NSUN2	NSUN2
FBXO42	FBXO42
MFAP3	MFAP3
MRI1	MRI1
METTL1	METTL1
AGA	AGA
PI4K2B	PI4K2B
BOD1L1	BOD1L1
MAT2B	MAT2B
TLL1	TLL1
EDC4	EDC4
TRIO	TRIO
VCAN	VCAN
CLEC16A	CLEC16A
MSR1	MSR1
CDH1	CDH1
SKIV2L2	SKIV2L2
DNAH5	DNAH5
ZFYVE16	ZFYVE16
FAM65A	FAM65A
C6	C6
RAI14	RAI14
PNKP	PNKP
PHLPP2	PHLPP2
SPDL1	SPDL1
STAU2	STAU2
PQLC2	PQLC2
CTNS	CTNS
RTN4R	RTN4R
PHF23	PHF23
CDH10	CDH10
INPP4A	INPP4A
RAB27B	RAB27B
PSMA4	PSMA4
